CAD,rpm,CAD in rad,S,volume,pressure(bar),temp_var,gamma_var,P1,T1,gamma1,P2,T2,gamma2,P3,T3,Pm,Sp,vel(m/s),h,h(hohen),Area,d_theta,dQ,dQ(hohen),dV,dP,dP(hohen),P_conv,P_conv(hohen),HRR,HRR(hohen),Heat_flux,Heat_flux(hohen),norm_vel,norm_p,norm_p_h,dA
198.8,801.8131774,3.4697116222222224,17.417438618531165,3526.5269625623287,1.9202457585213044,359.76715250962707,1.3974919172527456,1.9208654982160904,359.88808424711146,1.3974848576118641,1.9208640327824493,359.8880354315335,1.3974848604627337,1.9208640338598686,359.88803545124654,1.920890967385713,4.7520794313906665,10.83474110357072,84.06922976548476,54.5318716127336,0.21819029878386656,0.09999999999999432,0.005437852436987837,0.003527286639475748,-0.7289415191276021,0.0005554803233419237,0.0005552649780496599,1.9214195141832104,1.9214192988379182,261.6085044440279,169.69349447992673,-1.1989923745563513,-0.7777316197179808,1.1098875842993678,0.18183001385836126,0.18183210858128362,-1.8811394042084206e-05
198.9,801.7206288,3.47145695,17.4135754844962,3525.798021043201,1.9207936420162575,359.7954151369045,1.39749026787772,1.9214202965778229,359.91764630388144,1.3974831309918263,1.9214188179933502,359.91759641911136,1.3974831339057165,1.9214188190911203,359.9175964394786,1.9214459156675716,4.751530926688,10.83349051284864,84.07709091803298,54.539465318317205,0.21817148738982448,0.09999999999999432,0.005427247283743685,0.003520568585017297,-0.7327903958262141,0.0005586847705770305,0.0005584698199133799,1.9219775038616973,1.9219772889110338,261.0681662985796,169.35074758282525,-1.1966190881400933,-0.7762276803853507,1.1097850968565028,0.1818722560960978,0.1818743513056603,-1.8910719892240024e-05
199.0,801.6280802,3.473202277777778,17.409691952766522,3525.065230647375,1.9213446901793327,359.82383512209725,1.39748860900302,1.9219783008074633,359.94737280959407,1.397481394420859,1.9219768089583658,359.94732183780343,1.3974813973988398,1.9219768100768055,359.9473218588432,1.922004070028013,4.750982421985334,10.832239922126561,84.08503768621866,54.547122774986256,0.21815257666993224,0.09999999999999432,0.00541657976888393,0.003513809945312582,-0.7366389391745543,0.0005618935131615173,0.0005616789595124597,1.922538703589967,1.922538489036318,260.5249464828499,169.0061232389251,-1.1942327267443995,-0.774715228299291,1.1096826070474326,0.1819147388746283,0.18191683457360203,-1.901003713999927e-05
199.1,801.5355315,3.4749476055555553,17.40578802510877,3524.3285917082003,1.9218989072466572,359.8524125847578,1.3974869406164354,1.9225395152042064,359.97726388678865,1.3974796478860898,1.9225380099754086,359.9772118099408,1.3974796509292433,1.9225380111148245,359.97721183167175,1.9225654347670542,4.7504339166900005,10.8309893300532,84.09307013097268,54.55484403831817,0.21813356663279224,0.09999999999999432,0.005405849806750751,0.0035070106566752416,-0.7404871462604206,0.0005651065776412058,0.0005648924233979498,1.9231031176924658,1.9231029035382223,259.97884188380294,168.65961904047083,-1.1918332693906453,-0.7731942481112674,1.109580114761083,0.18195746247958722,0.18195955867074654,-1.9109345709922287e-05
199.2,801.4429829,3.476692933333333,17.40186370330502,3523.58810456194,1.9224562974804797,359.88114764511636,1.397485262705682,1.923103944093734,360.00731965869426,1.3974778913745682,1.923102425368843,360.007266458542,1.3974778944839907,1.9231024265295695,360.0072664809833,1.9231300142112109,4.749885411987333,10.829738739331118,84.10118833892687,54.56262917692781,0.21811445728708231,0.10000000000002274,0.005395057310770895,0.0035001706545401447,-0.7443350141384144,0.0005683239906138662,0.0005681102381728732,1.9236707505201833,1.9236705367677425,259.4298494435817,168.31123260198368,-1.1894206953100777,-0.7716647245462156,1.1094776202186152,0.18200042719832674,0.18200252388444935,-1.9208645526180845e-05
199.3,801.3504343,3.478438261111111,17.39791898915295,3522.8437695478015,1.9230168651692208,359.9100404240804,1.397483575258403,1.9236715918282914,360.0375402492288,1.3974761248732688,1.9236700594896174,360.03748590731334,1.3974761280500692,1.9236700606719708,360.0374859304844,1.9236978127135462,4.7493369072846665,10.828488148609038,84.1093923720605,54.57047824723697,0.21809524864155613,0.09999999999999432,0.00538420219425712,0.003493289874461565,-0.748182539858135,0.0005715457787512785,0.0005713324305143084,1.924241606450722,1.924241393102485,258.877966003632,167.9609614821436,-1.1869949832291082,-0.7701266420443242,1.1093751233089584,0.18204363331992077,0.18204573050378767,-1.930793651244711e-05
199.4,801.2578856,3.480183588888889,17.39395388446588,3522.0955870079433,1.9235806146275467,359.9390910432368,1.3974818782621685,1.9242424627867467,360.06792578300065,1.3974743483690886,1.9242409167152674,360.06787028064997,1.3974743516143893,1.9242409179195796,360.0678703045709,1.9242688346537469,4.748788401989334,10.82723755653568,84.11768229287038,54.578391306086566,0.21807594070504369,0.09999999999999432,0.005373284370015766,0.003486368251618552,-0.7520297204468989,0.0005747719687865213,0.0005745590271606674,1.9248156898883662,1.9248154769467403,258.32318838279633,167.6088032229005,-1.1845561117271008,-0.7685799849401913,1.109272623921031,0.18208708113516903,0.18208917881956463,-1.9407218592171205e-05
199.5,801.165337,3.481928916666667,17.389968391072884,3521.3435572874964,1.9241475501964291,359.9682996248515,1.3974801717044762,1.924816561374665,360.0984763853095,1.397472561848848,1.9248150014500132,360.0984197036365,1.3974725651637847,1.9248150026766164,360.0984197283277,1.9248430844381827,4.748239897286667,10.8259869658136,84.12605818957228,54.586368423365556,0.21805653348645151,0.09999999999999432,0.005362303749928596,0.003479405720306046,-0.7558765529070115,0.000578002587512323,0.0005777900549100363,1.9253930052641288,1.9253927927315264,257.7655134544891,167.25475538813276,-1.1821040595901469,-0.7670247376399972,1.1091701222760089,0.18213077093659935,0.18213286912431134,-1.9506491687970584e-05
199.6,801.0727884,3.483674244444444,17.38596251081892,3520.5876807345894,1.9247176762432057,359.9976662918708,1.3974784555727493,1.9253938920243323,360.12919218214597,1.3974707652992906,1.9253923181248178,360.1291343020474,1.3974707686850127,1.9253923193740496,360.12913432752975,1.9254205664999682,4.7476913925840005,10.82473637509152,84.1345201257162,54.594409656763716,0.21803702699476354,0.09999999999999432,0.005351260245764825,0.003472402214937481,-0.7597230342312287,0.0005812376617934557,0.0005810255406325911,1.9259735570358432,1.9259733449146823,257.20493799174847,166.89881548598774,-1.1796388051004092,-0.7654608842652952,1.109067618262813,0.18217470301847322,0.18217680171229272,-1.9605755722074125e-05
199.7,800.9802397,3.485419572222222,17.381936245564887,3519.827957700358,1.9252909971616496,360.0271911679221,1.3974767298543382,1.9259744591948826,360.16007330019363,1.397468958707083,1.9259728711974438,360.16001420234824,1.3974689621647538,1.9259728724696514,360.16001422864304,1.926001285299031,4.747142887288667,10.823485783018159,84.14306816537163,54.60251506439175,0.21801742123904147,0.10000000000002274,0.00534015376877554,0.0034653576695428193,-0.7635691613895688,0.0005844772185571208,0.0005842655112609723,1.9265573496882085,1.9265571379809123,256.6414587448631,166.54098100776056,-1.1771603263918664,-0.7638884088311437,1.1089651117703543,0.18221887767678813,0.1822209768795097,-1.9705010616544172e-05
199.8,802.8840973,3.4871649000000002,17.37788959718774,3519.0643885389686,1.925867517372031,360.0568743773144,1.3974749945365195,1.9265582673723087,360.1911198668285,1.3974671420588143,1.9265566651525257,360.19105953169543,1.3974671455896104,1.9265566664480502,360.1910595588246,1.9265852453221777,4.758426416664667,10.849212229995441,84.31947537892049,54.69476785742844,0.21799771622842493,0.09999999999999432,0.005326331439285955,0.003454984276103518,-0.767414931334315,0.0005877209851730097,0.000587509622454618,1.9271443874332232,1.9271441760705048,256.5856085731174,166.43711590231348,-1.1770105348455067,-0.7634810069657582,1.1110733388534983,0.18226329518661055,0.18226539490103189,-1.9804256292443867e-05
199.9,804.7879549,3.4889102277777777,17.373822567580582,3518.2969736076343,1.9264472413211844,360.08671604503945,1.397473249606496,1.9271453210695666,360.2223320101206,1.3974653153409964,1.9271437045016369,360.22227041793803,1.3974653189461086,1.9271437058208358,360.22227044592387,1.9271724510831574,4.769709946040668,10.874938676972722,84.49595895444445,54.787093003774174,0.21797791197213248,0.09999999999999432,0.005312464418810723,0.0034445964729454665,-0.7712603409968324,0.0005909692902817269,0.0005907582754826859,1.9277346751111175,1.9277344640963185,256.5244425056365,166.33018505506158,-1.1768368647298177,-0.763059814410582,1.1131805663361565,0.18230795587024337,0.1823100560991659,-1.9903492670891865e-05
200.0,806.6918125,3.4906555555555556,17.369735158652787,3517.5257132666375,1.9270301734825712,360.1167162967722,1.3974714950513967,1.9277356248266042,360.2537098588345,1.397463478540064,1.9277339937833549,360.2536469896178,1.397463482220697,1.9277339951265846,360.25364701848304,1.927762907122728,4.7809934754166665,10.900665123949999,84.67251967243517,54.87949091757268,0.2179580084794616,0.09999999999999432,0.005298552627290322,0.0034341941389081287,-0.7751053872912053,0.000594222161011584,0.0005940114974721235,1.9283282172875962,1.9283280066240567,256.4579413521426,166.22017766356993,-1.1766392212025962,-0.762624777236543,1.1152867970553253,0.18235286002891513,0.1823549607751437,-2.000271967206313e-05
200.1,808.5956701,3.4924008833333335,17.365627372330074,3516.7506078793463,1.9276163183563482,360.1468752588717,1.3974697308582764,1.9283291832104743,360.28525354242936,1.3974616316423736,1.9283275375633178,360.2851893759697,1.3974616353997464,1.9283275389309371,360.2851894057376,1.9283566180087237,4.792277004792667,10.92639157092728,84.84915831327703,54.97196201346322,0.21793800575978953,0.09999999999999432,0.005284595984409948,0.00342377715332064,-0.7789500671178757,0.0005974796245623255,0.0005972693156214156,1.9289250185554994,1.9289248082465584,256.38608587331845,166.10708289375182,-1.1764175090961706,-0.7621758413116547,1.1173920338332746,0.1823980079656055,0.18240010923194855,-2.010193721591058e-05
200.2,810.4995276,3.4941462111111106,17.361499210554598,3515.9716578122284,1.9282056804694359,360.1771930583821,1.3974679570141157,1.928926000815355,360.3169631910607,1.3974597746342043,1.9289243404343077,360.31689770692344,1.3974597784695497,1.9289243418266802,360.3168977376179,1.9289535883361255,4.803560533575999,10.952118016553278,85.02587564887028,55.06450670237814,0.21791790382257362,0.10000000000002274,0.005270594409726628,0.0034133453961525274,-0.7827943773472725,0.0006007417081931156,0.0006005317571885738,1.9295250835348732,1.9295248735838688,256.30885675521967,165.99088986699775,-1.176171632799403,-0.761712952241619,1.1194962793671583,0.18244339998504946,0.18244550177431884,-2.020114522183203e-05
200.3,812.4033852,3.495891538888889,17.35735067528509,3515.188863434881,1.9287982643755797,360.2076698230331,1.3974661735058214,1.9295260822626572,360.3488389355804,1.3974579075017572,1.9295244070163062,360.34877211310317,1.3974579114163228,1.9295244084338117,360.3487721447485,1.9295538227271212,4.814844062952,10.977844463530559,85.20267247621831,55.15712540838352,0.21789770267735178,0.09999999999999432,0.005256547822138797,0.003402898747357972,-0.7866383148389104,0.0006040084392376093,0.000603798849506194,1.9301284168730493,1.930128207283318,256.22623471028936,165.8715877107968,-1.1759014967206505,-0.7612360556017804,1.1215995366711753,0.1824890363937419,0.18249113870875303,-2.030034360872568e-05
200.4,814.3072428,3.4976368666666664,17.35318176849693,3514.402225120042,1.9293940746554221,360.23830568124106,1.397464380320225,1.9301294322010552,360.3808809075374,1.3974560302311554,1.9301277419565708,360.380812725829,1.397456034226203,1.9301277433995812,360.38081275845,1.9301573258311784,4.8261275923280005,11.00357091050784,85.37954956708012,55.24981854343132,0.21787740233374306,0.09999999999999432,0.005242456140680371,0.003392437087840604,-0.7904818764300217,0.0006072798450958371,0.00060707061997336,1.930735023244677,1.9307348140195546,256.13820032505635,165.74916548232605,-1.1756070045883218,-0.7607450965861647,1.1237018084135246,0.18253491749993875,0.18253702034351063,-2.0399532295045653e-05
200.5,816.2111004,3.4993821944444443,17.348992492182262,3513.611743243612,1.9299931159165684,360.26910076210925,1.3974625774440836,1.9307360553065864,360.4130892391789,1.3974541428084437,1.930734349929695,360.41301967711723,1.3974541468852497,1.9307343513985902,360.41301971073943,1.9307641023251125,4.837411121704,11.029297357485119,85.55650770156304,55.34258652420178,0.217857002801448,0.09999999999999432,0.00522831928398124,0.003381960298790904,-0.7943250589432864,0.0006105559532405919,0.0006103470960620168,1.9313449073518307,1.9313446984946523,256.0447341612666,165.62361221912357,-1.1752880599143394,-0.760240020239656,1.125803097358667,0.18258104361366387,0.18258314698861902,-2.0498711198524422e-05
200.6,818.114958,3.5011275222222222,17.344782848350064,3512.817418184669,1.9305953927936574,360.30005519542976,1.39746076486408,1.9313459562827058,360.4454640634506,1.3974522452195883,1.9313442356376775,360.4453930996814,1.397452249379444,1.9313442371328469,360.44539313433063,1.9313741569131577,4.84869465108,11.0550238044624,85.73354765974256,55.43542976789995,0.2178365040902495,0.09999999999999432,0.00521413717040295,0.003371468261843503,-0.7981678591718264,0.0006138367912064336,0.0006136283053059773,1.9319580739240534,1.9319578654381528,255.94581673024146,165.49491692619526,-1.174944565875898,-0.7597207713984925,1.127903406256881,0.18262741504671084,0.1826295189558754,-2.0597880236727928e-05
200.7,820.0188156,3.50287285,17.34055283902631,3512.019250325497,1.9312009099484244,360.33116911168304,1.3974589425668216,1.9319591398603555,360.4780055139979,1.3974503374504772,1.9319574038100011,360.47793312693267,1.3974503416946884,1.9319574053318382,360.47793316263545,1.9319874943270274,4.859978180456,11.08075025143968,85.91067022167712,55.52834869226136,0.21781590621001276,0.10000000000002274,0.005199909718035963,0.0033609608590682775,-0.8020102739019421,0.0006171223866076588,0.0006169142753188929,1.9325745277184458,1.9325743196071572,255.84142849258868,165.36306857583006,-1.174576425313552,-0.7591872946890803,1.1300027378443671,0.18267403211264843,0.18267613655885215,-2.0697039326444955e-05
200.8,821.9226731,3.504618177777778,17.336302466254004,3511.217240051595,1.9318096720697784,360.3624426420394,1.3974571105388411,1.9325756107980436,360.51071372516606,1.39744841948692,1.9325738592037023,360.510639892981,1.3974484238168072,1.9325738607525957,360.51063992976424,1.9326041193259966,4.8712617092393335,11.106476697065679,86.08787615904362,55.62134371135268,0.21779520917068632,0.09999999999999432,0.005185636844815965,0.0033504379731113055,-0.8058522998899207,0.0006204127671210194,0.0006202050337769728,1.9331942735197167,1.9331940657863727,255.73154983303382,165.2280560949328,-1.1741835406150587,-0.7586395344694814,1.132101094733163,0.18272089512682316,0.1827230001128994,-2.0796188384297754e-05
200.9,823.8265307,3.5063635055555555,17.33203173209335,3510.411387751705,1.9324216838738635,360.3938759183601,1.3974552687665955,1.9331953738818866,360.5435888320016,1.3974464913146465,1.9331936066034145,360.54351353263513,1.3974464957315462,1.9331936081797787,360.5435135705265,1.9332240366969615,4.882545238615334,11.132203144042961,86.26516626867154,55.71441525239923,0.21777441298230202,0.09999999999999432,0.0051713184680307845,0.003339899486577609,-0.8096939338770426,0.0006237079604977105,0.00062350060843096,1.9338173161402765,1.9338171087882097,255.61616115977293,165.08986841484597,-1.1737658141709524,-0.7580774350578202,1.13419847985206,0.1827680044063648,0.1827701099351506,-2.0895327325853863e-05
201.0,825.7303883,3.508108833333333,17.327740638621805,3509.601693817828,1.9330369501041333,360.4254690731972,1.3974534172364668,1.933818433925724,360.57663097025227,1.397444552919309,1.9338166508214838,360.57655418140433,1.3974445574245717,1.9338166524257154,360.5765542204321,1.9338472512545153,4.893828767991333,11.157929591020238,86.4425413222747,55.80756373055701,0.21775351765497616,0.09999999999999432,0.005156954505061868,0.0033293452829418735,-0.8135351725863984,0.0006270079945615247,0.0006268010271043029,1.934443660420277,1.9344434534528197,255.49524275462474,164.94849439611136,-1.17332314768595,-0.7575009403864935,1.1362948957854075,0.18281536027018813,0.1828174663445242,-2.0994456066736333e-05
201.1,827.6342459,3.509854161111111,17.32342918793421,3508.7881586452418,1.933655475531423,360.4572222397955,1.3974515559347613,1.9344447957711557,360.6098402763686,1.3974426042864792,1.934442996697992,360.6097619754983,1.3974426088814715,1.934442998330512,360.60976201569116,1.9344737678410184,4.905112297367333,11.183656037997519,86.62000209999096,55.90078956574225,0.21773252319890943,0.09999999999999432,0.005142544872882938,0.003318775245924935,-0.8173760127165224,0.000630312897204425,0.0006301063176887163,1.9350733112277165,1.9350731046482008,255.3687748725374,164.80392287836963,-1.1728554426352071,-0.7569099942309172,1.138390345214134,0.18286296303899952,0.18286506966173027,-2.1093574521735547e-05
201.2,827.0456366,3.511599488888889,17.319097382142893,3507.9707826325252,1.9342772649540143,360.4891355520926,1.3974496848477096,1.935074464287615,360.64321688750414,1.3974406454016504,1.9350726491008683,360.64313705182826,1.397440650087754,1.9350726507620948,360.64313709321556,1.9351035913266688,4.901623806249333,11.175702278248478,86.58885001193734,55.88930689983593,0.2177114296243877,0.10000000000002274,0.005131176672879639,0.003311949607695602,-0.8212164509527611,0.0006336230461629032,0.0006334169341875628,1.9357062738082578,1.9357060676962823,254.62303667567073,164.34800830098638,-1.1695437263673563,-0.7548892062512844,1.1377426051613826,0.18291081306173973,0.1829129202357136,-2.11926826051978e-05
201.3,826.4570273,3.5133448166666668,17.31474522337775,3507.1495661815725,1.9349023231977132,360.52120914472005,1.3974478039614668,1.9357074443724733,360.6767609415163,1.3974386762502364,1.9357056129259436,360.67667954800777,1.3974386810288486,1.9357056146162979,360.67667959061953,1.9357367266095769,4.898135315131334,11.167748518499442,86.55776349071922,55.877878302461596,0.2176902369417825,0.09999999999999432,0.005119742155221384,0.003305079955307725,-0.825056483951812,0.0006369381175446769,0.0006367324756301715,1.9363425527338425,1.936342347091928,253.8748129288201,163.8903932911557,-1.1662204814298331,-0.7528605581654327,1.1370947729025978,0.18295891063610026,0.18296101836416906,-2.1291780231025292e-05
201.4,825.868418,3.5150901444444447,17.310372713786393,3506.3245096976207,1.935530655115917,360.55344315300425,1.397445913262112,1.9363437409510642,360.7104725769672,1.3974366968175715,1.9363418930970149,360.71038960235313,1.3974367016901048,1.9363418948169258,360.71038964622005,1.9363731786158325,4.894646824013334,11.159794758750401,86.52674247629236,55.866503764548796,0.21766894516155147,0.09999999999999432,0.005108241196579182,0.003298166183906737,-0.8288961083603681,0.0006402581394613469,0.0006400529701335057,1.936982152956387,1.9369819477870593,253.12410454689092,163.43107731625855,-1.162885704063228,-0.7508240424235153,1.136446848358969,0.18300725608818233,0.18300936437320167,-2.139086731250961e-05
201.5,825.2798087,3.516835472222222,17.30597985553421,3505.4956135892603,1.93616226558969,360.58583771296725,1.3974440127356473,1.9369833589767835,360.7443519331246,1.3974347070889097,1.9369814945659272,360.74426735388465,1.3974347120567927,1.9369814963158345,360.7442673990378,1.937012952299586,4.891158332895333,11.15184099900136,86.49578690890064,55.85518327732389,0.21764755429423896,0.09999999999999432,0.0050966736729814825,0.0032912081880811053,-0.8327353207923807,0.0006435831400884086,0.0006433784458784549,1.9376250794559229,1.9376248747617129,252.3709124306834,162.97005983109617,-1.1595393904105247,-0.748779651393537,1.1357988314515635,0.1830558497458934,0.18305795859072266,-2.148994376238722e-05
201.6,824.6911994,3.5185807999999996,17.30156665080454,3504.662878268468,1.9367971595278313,360.6183929613273,1.3974421023679995,1.937626303431172,360.77839914996196,1.3974327070494257,1.9376244223126569,360.77831294232686,1.397432712114103,1.9376244240930034,360.77831298879835,1.9376560526431101,4.887669841777333,11.143887239252319,86.46489672907514,55.843916832309816,0.21762606435047657,0.09999999999999432,0.005085039459819276,0.0032842058618647793,-0.8365741178567987,0.0006469131476871845,0.0006467089311317665,1.9382713372406906,1.9382711330241351,251.61523746689548,162.50734027787576,-1.1561815365170642,-0.7467273773612212,1.1351507221013246,0.18310469193895276,0.18310680134645516,-2.158900949311704e-05
201.7,824.1025901,3.5203261277777775,17.29713310179867,3503.826304150611,1.937435341866955,360.6511090355002,1.3974401821450186,1.9382725793239748,360.81261436816015,1.3974306966842138,1.9382706813453645,360.81252650810984,1.3974307018471461,1.9382706831565992,360.812526555932,1.9383024846568866,4.884181350659334,11.135933479503281,86.43407187763327,55.832704421325964,0.21760447534098346,0.10000000000002274,0.00507333843184427,0.0032771590987351576,-0.8404124961307389,0.0006502481905846444,0.0006500444542258657,1.9389209313471838,1.9389207276108251,250.85708052814707,162.04291808620866,-1.152812138330598,-0.7446672125299328,1.1345025202290717,0.1831537829988936,0.18315589297193613,-2.1688064416269803e-05
201.8,823.5139808,3.5220714555555555,17.292679210736054,3502.9858916544804,1.9380768175715588,360.6839860736,1.397438252052478,1.9389221916932056,360.8469977291077,1.3974286759782886,1.9389202767004894,360.8469081923694,1.3974286812409522,1.93892027854306,360.84690824157553,1.9389522533796721,4.880692859541334,11.12797971975424,86.40331229567819,55.82154603648816,0.21758278727656719,0.09999999999999432,0.005061570463159308,0.003270067791606047,-0.8442504521726732,0.0006535882971841138,0.0006533850435695641,1.939573866840244,1.9395736635866294,250.09644247297555,161.57679267309084,-1.1494311917012099,-0.7425991490205163,1.1338542257554982,0.1832031232590685,0.183205233800522,-2.1787108443138692e-05
