CAD,rpm,load,CAD in rad,S,volume,pressure(bar),temp_var,gamma_var,P1,T1,gamma1,P2,T2,gamma2,P3,T3,Pm,Sp,vel(m/s),h,h(hohen),Area,d_theta,time,dt,dQ,dQ(hohen),dV,dP,dP(hohen),P_conv,P_conv(hohen),HRR,dV/d0,dP/d0,dQ/d0,HRR(hohen),Heat_flux,Heat_flux(hohen),dA
-38.5,1500,8.856342316,-0.6719511944444444,1.5435476005887203,180.29752830693678,10.202915841699323,559.7864031465441,1.3800940522452632,10.183822908562055,559.8486710987921,1.3800874595311543,10.18511792027618,559.8443061201917,1.3800879216926438,10.185029979542463,559.84461211218,10.20397678418431,5.8,13.223999999999998,319.33484712921916,235.28422555968243,0.03763127994066419,0.008726638888888805,-0.24522292993630573,0.0031847133757961776,-0.0021637102469843064,-0.001594210260401832,-3.0692921818247214,0.2392815691683395,0.2392827697397968,10.424311548710802,10.42431274928226,2231.488259202894,-6.199463102726213,0.4649137051343075,8.73042697771524,1644.1487411476305,59.29876057156266,43.691013001419904,-0.00012036439928725384
-38.0,1500,9.048235893,-0.6632245555555556,1.505985629412752,177.22823612511206,10.447557457518073,563.4507372941666,1.3797054290859896,10.422872981257072,563.2516342173811,1.3797265789235877,10.424634709578193,563.2659272343209,1.3797250607675,10.424508838544286,563.2649012554627,10.444111667915665,5.8,13.223999999999998,324.23962801855765,239.36286814438046,0.037510915541376935,0.008726638888888916,-0.24203821656050956,0.0031847133757961776,-0.002230252334838295,-0.0016464353811867854,-3.0385046811171605,0.24658504470155188,0.24658629557405984,10.671093883245838,10.671095134118346,2300.1147714616022,-6.138584363649443,0.4789577180036453,8.970063272736553,1698.0098087418053,61.31854523583751,45.26708517334887,-0.00011915704631831892
-37.5,1500,9.240862846,-0.6544979166666667,1.468800435404173,174.1897314439949,10.699884082349016,567.1656110951849,1.3793101222465076,10.669118228902763,566.6895928320356,1.379360848636797,10.671405485498456,566.7245806211947,1.3793571209140714,10.671235398831431,566.7220094051804,10.691515298048756,5.8,13.223999999999998,329.2545664320544,243.54079808187686,0.037391758495058616,0.008726638888888916,-0.23885350318471338,0.0031847133757961776,-0.002298822052816798,-0.0017003771988892207,-3.0073720447717847,0.2541250484265188,0.25412635174282183,10.92536044725795,10.925361750574254,2370.8324291605218,-6.077009362234321,0.4934531205742907,9.214894115330651,1753.6413486168017,63.40521346365219,46.89914085876834,-0.00011793615861849238
-37.0,1500,9.442181587,-0.6457712777777778,1.4319962423299337,171.18235939922312,10.960156619907691,570.9315410987676,1.3789080830270777,10.922785401889499,570.1624544684462,1.3789902916962415,10.92566275717382,570.2203216802191,1.3789841080156202,10.925441360292817,570.2159687433349,10.946419797672707,5.8,13.223999999999998,334.38218108185197,247.8205126946377,0.037273822336440124,0.008726638888888916,-0.2356687898089172,0.0031847133757961776,-0.0023694839552052065,-0.0017560945583309428,-2.9758973268779982,0.26190783368560105,0.26190919168086557,11.187349193978418,11.187350551973683,2443.7078087417026,-6.014744089543569,0.5084119229227717,9.464888013915896,1811.1040489027014,65.56096626432254,48.58916889594406,-0.00011670185595601124
-36.5,1500,9.653460503,-0.6370446388888888,1.3955772365810653,168.20646207234512,11.228643612316777,574.7490237787015,1.3784992678681414,11.184106819398751,573.6700922890486,1.3786149370923617,11.187645079739776,573.7531790594114,1.3786060330814995,11.187364380219378,573.7467827603219,11.209063227238364,5.8,13.223999999999998,339.6250164553537,252.2045459658715,0.03715712048048411,0.008726638888888805,-0.23248407643312102,0.0031847133757961776,-0.0024423041954921214,-0.0018136479672886704,-2.9440836395213523,0.26993958862276496,0.26994100362809714,11.457303968842144,11.457305383847476,2518.8091359453488,-5.9517946537559965,0.5238460398531224,9.719997314658343,1870.4603127764442,67.78806062941,50.339215972315685,-0.00011545426037338352
-36.0,1500,9.86425209,-0.628318,1.359547566462922,165.26237843282377,11.505621233406893,578.6185328271476,1.3780836388286406,11.45332026669223,577.2123429442034,1.3782348200841805,11.457596983210394,577.3231526405995,1.378222912548197,11.457247994072194,577.3144241305023,11.479689501428865,5.8,13.223999999999998,344.98563892849523,256.6954655246887,0.03704166622011073,0.008726638888888916,-0.22929936305732485,0.0031847133757961776,-0.0025173504978322704,-0.0018730995873825257,-2.911934152210449,0.2782264007601547,0.2782278752061724,11.735474394832348,11.735475869278366,2596.206256378627,-5.888167279042705,0.5397672277056316,9.98015666981891,1931.7742490647615,70.08880866620113,52.15138643023459,-0.00011419349616510754
-35.5,1500,10.08270836,-0.6195913611111111,1.3239113414924404,162.35044428061332,11.791373246161946,582.5405162317013,1.3776611640914116,11.730668856156335,580.7890043290162,1.3778499825090536,11.735768866166849,580.9302113997445,1.3778347685917198,11.735341500530275,580.9188324631799,11.758548269925836,5.8,13.223999999999998,350.46663234007195,261.29586913876915,0.03692747272394562,0.008726638888888916,-0.22611464968152867,0.0031847133757961776,-0.002594692118176702,-0.0019345132163926563,-2.8794520912963435,0.28677421700187666,0.2867757534223262,12.022115717532152,12.022117253952601,2675.970595428585,-5.823868304420898,0.5561870129161619,10.245281407398892,1995.1116540071073,72.46557638625922,54.02784178927514,-0.00011291968985475964
-35.0,1500,10.31078434,-0.6108647222222222,1.2886726317025001,159.47099218931697,12.086190919195353,586.5153931217515,1.3772318184963557,12.016400847713125,584.3998332437429,1.3774604730980449,12.022416849730051,584.5742911352633,1.3774416294514626,12.021899806292868,584.5599119229967,12.045894757518752,5.8,13.223999999999998,356.0705929768829,266.00838066525125,0.03681455303409086,0.008726638888888916,-0.2229299363057325,0.0031847133757961776,-0.002674399793811917,-0.001997954260855169,-2.8466407393775626,0.29558879862462856,0.2955903996600312,12.317488604917497,12.3174902059529,2758.1751062202848,-5.758904182592687,0.5731166115251867,10.515265799077952,2060.53998299292,74.92078210663513,55.97079994655449,-0.0001116329701716795
-34.5,1500,10.54154587,-0.6021380833333333,1.2538354669535678,156.6243514499394,12.390372896613657,590.543550369556,1.376795584102008,12.31076942380948,588.0445429558845,1.3770663477963276,12.317802586853716,588.2552920569196,1.377043529765681,12.317183225681656,588.2375287136385,12.341989558574314,5.8,13.223999999999998,361.80012391582034,270.83564540672023,0.03670292006391918,0.008726638888888916,-0.2197452229299363,0.0031847133757961776,-0.002756545679932001,-0.00206348969767405,-2.8135034346967416,0.30467567078583346,0.3046773391871482,12.62185889646749,12.621860564868804,2842.8942042022213,-5.693281478755125,0.5905668387775762,10.78998122366741,2128.1283109711644,77.45689441742617,57.98253401268805,-0.00011033346802730853
-34.0,1500,10.7784586,-0.5934114444444444,1.2194038362527273,153.81084801524267,12.704225015055167,594.6253389308964,1.376352450776017,12.614032413771234,591.7228006622541,1.3766676700879432,12.622193021508869,591.9730762276025,1.376640510918643,12.621457229629886,591.9515084186839,12.64709838042446,5.8,13.223999999999998,367.6578286652636,275.7803248151652,0.036592586595891874,0.008726638888888805,-0.21656050955414013,0.0031847133757961776,-0.0028412032717471053,-0.002131188023366457,-2.780043570528534,0.3140400660492542,0.31404180468153775,12.93549729567914,12.935499034311423,2930.203686814865,-5.627006869393483,0.6085480078964594,11.069274225136866,2197.947280105739,80.07642966523247,60.06537073693761,-0.00010902131649132701
-33.5,1500,11.02255058,-0.5846848055555556,1.185381687080195,151.03080444471414,13.028060061080915,598.7610699096631,1.3759024168149208,12.926451961860042,595.434224849517,1.3762645113241774,12.93586009183298,595.7274648500639,1.3762326213995044,12.93499213816027,595.7016331933885,12.961491729745156,5.8,13.223999999999998,373.64630404429465,280.8450904826405,0.03648356527940055,0.008726638888888916,-0.21337579617834396,0.0031847133757961776,-0.002928447310501702,-0.0022011191894300065,-2.7462645945578856,0.3236868613983066,0.32368867324435097,13.258678999558576,13.258680811404622,3020.1806365647603,-5.560087141057068,0.627069817060768,11.352964463195889,2270.0690331180067,82.78194889768689,62.22168847077398,-0.00010769665076697243
-33.0,1500,11.27665329,-0.5759581666666667,1.1517729247234492,148.28453985015625,13.362197461443573,602.9510103302633,1.375445489593465,13.248294132897525,599.1783825519383,1.3758569510547332,13.259080370789706,599.5182353904826,1.375819917172893,13.258062749938517,599.4876388012199,13.285444535483519,5.8,13.223999999999998,379.76813223428337,286.0326173530591,0.036375868628633574,0.008726638888888916,-0.21019108280254778,0.0031847133757961776,-0.003018353671638987,-0.0022733545221838318,-2.712170008244385,0.3336205081781873,0.3336223963421113,13.591683258116705,13.591685146280629,3112.903305686066,-5.492529189115771,0.6461412235564943,11.640842556923928,2344.5671306171694,85.57605420962285,64.45391461447117,-0.00010635960816644113
-32.5,1500,11.53597927,-0.5672315277777777,1.118581411619136,145.57236984191186,13.706962898067259,607.1953786013449,1.374981686243529,13.579828448825179,602.9547865053457,1.3754450773608122,13.592134637329776,603.3451185305541,1.3754024620611391,13.590947901948185,603.3092114890101,13.619235701349847,5.8,13.223999999999998,386.02587193338974,291.34557608515985,0.03626950902046713,0.008726638888888916,-0.2070063694267516,0.0031847133757961776,-0.003110999233206928,-0.002347966625292829,-2.6777633661886,0.3438449543835266,0.34384692209429446,13.934792856331711,13.93479482404248,3208.450980424058,-5.42434001648877,0.6657703040193361,11.932667822304552,2421.5164505708076,88.46138442661318,66.76452248648663,-0.00010501032808583888
-32.0,1500,11.80189514,-0.5585048888888888,1.0858109667027307,142.89460647572326,14.062687838841486,611.4943396540555,1.3745110343625226,13.921327349053762,606.7628921966408,1.375028987189124,13.93530737046155,607.2077949397179,1.3749803281380153,13.933929951769436,607.1659846947562,13.96314758032861,5.8,13.223999999999998,392.4220485405699,296.78662449226056,0.036164498692381294,0.008726638888888916,-0.20382165605095542,0.0031847133757961776,-0.003206461722451378,-0.002425029263032352,-2.6430482754744844,0.3543635586794197,0.35436560929425587,14.288293510448856,14.288295561063691,3306.9038228229765,-5.3555267323772,0.6859640996425007,12.228165905925152,2500.9930679129984,91.4406100566143,69.15602755029693,-0.00010364895197939594
